	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)
VARIABLES	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuwsch_r2	pcuwsch_r2	pcuwsch_r2	pcuwhome_r2	pcuwhome_r2	pcuwhome_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwfri_r2	pcuwfri_r2	pcuwfri_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwfri_r2	pcuytwfri_r2	pcuytwfri_r2	pcthwork_r2	pcthwork_r2	pcthwork_r2	pctgame_r2	pctgame_r2	pctgame_r2	pctmusic_r2	pctmusic_r2	pctmusic_r2	pctvideo_r2	pctvideo_r2	pctvideo_r2	inthome_r2	inthome_r2	inthome_r2	intuweek_r2	intuweek_r2	intuweek_r2	pchome_r2	pchome_r2	pchome_r2	pcuweek_r2	pcuweek_r2	pcuweek_r2	pcuyest_r2	pcuyest_r2	pcuyest_r2	pcuwsch_r2	pcuwsch_r2	pcuwsch_r2	pcuwhome_r2	pcuwhome_r2	pcuwhome_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwcafe_r2	pcuwfri_r2	pcuwfri_r2	pcuwfri_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwsch_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwhome_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwcafe_r2	pcuytwfri_r2	pcuytwfri_r2	pcuytwfri_r2	pcthwork_r2	pcthwork_r2	pcthwork_r2	pctgame_r2	pctgame_r2	pctgame_r2	pctmusic_r2	pctmusic_r2	pctmusic_r2	pctvideo_r2	pctvideo_r2	pctvideo_r2	inthome_r2	inthome_r2	inthome_r2	intuweek_r2	intuweek_r2	intuweek_r2
																																							(0.01)***																																																			(0.01)***												
pctmusic_r1																																										0.23																																																			0.23									
																																										(0.01)***																																																			(0.01)***									
pctvideo_r1																																													0.22																																																			0.22						
																																													(0.03)***																																																			(0.03)***						
inthome_r1																																																0.42																																																			0.42			
																																																(0.02)***																																																			(0.02)***			
intuweek_r1																																																			0.18																																																			0.18
																																																			(0.02)***																																																			(0.02)***
Constant	0.89	0.50	0.29	0.95	0.90	0.71	0.81	0.73	0.58	0.53	0.54	0.20	0.82	0.50	0.22	0.43	0.54	0.18	0.20	0.23	-0.00	19.41	23.01	25.51	61.85	44.99	35.44	30.75	34.25	-4.10	11.30	15.44	3.03	0.74	0.74	0.51	0.79	0.70	0.48	0.67	0.64	0.11	0.38	0.43	0.14	0.38	0.37	0.08	0.80	0.81	0.45	0.89	0.50	0.29	0.95	0.90	0.71	0.81	0.73	0.58	0.53	0.54	0.20	0.82	0.50	0.22	0.43	0.54	0.18	0.20	0.23	-0.00	19.41	23.01	25.51	61.85	44.99	35.44	30.75	34.25	-4.10	11.30	15.44	3.03	0.74	0.74	0.51	0.79	0.70	0.48	0.67	0.64	0.11	0.38	0.43	0.14	0.38	0.37	0.08	0.80	0.81	0.45
	(0.01)	(0.01)	(0.12)**	(0.01)	(0.01)	(0.06)***	(0.02)	(0.01)	(0.10)***	(0.02)	(0.01)	(0.07)**	(0.02)	(0.01)	(0.12)*	(0.02)	(0.01)	(0.16)	(0.02)	(0.01)	(0.11)	(1.76)	(1.06)	(10.34)**	(2.84)	(1.58)	(12.15)**	(3.05)	(1.19)	(18.45)	(1.45)	(0.88)	(9.17)	(0.02)	(0.01)	(0.12)***	(0.02)	(0.01)	(0.12)***	(0.02)	(0.01)	(0.07)	(0.02)	(0.01)	(0.14)	(0.02)	(0.01)	(0.11)	(0.02)	(0.01)	(0.12)***	(0.01)	(0.01)	(0.12)**	(0.01)	(0.01)	(0.06)***	(0.02)	(0.01)	(0.10)***	(0.02)	(0.01)	(0.07)**	(0.02)	(0.01)	(0.12)*	(0.02)	(0.01)	(0.16)	(0.02)	(0.01)	(0.11)	(1.76)	(1.06)	(10.34)**	(2.84)	(1.58)	(12.15)**	(3.05)	(1.19)	(18.45)	(1.45)	(0.88)	(9.17)	(0.02)	(0.01)	(0.12)***	(0.02)	(0.01)	(0.12)***	(0.02)	(0.01)	(0.07)	(0.02)	(0.01)	(0.14)	(0.02)	(0.01)	(0.11)	(0.02)	(0.01)	(0.12)***
																																																																																																						
Observations	610	2,241	2,851	598	2,193	2,791	610	2,241	2,851	566	2,075	2,641	574	2,067	2,641	563	2,068	2,631	548	2,013	2,561	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	579	2,113	2,692	573	2,086	2,659	564	2,074	2,638	559	2,053	2,612	603	2,209	2,812	610	2,241	2,851	610	2,241	2,851	598	2,193	2,791	610	2,241	2,851	566	2,075	2,641	574	2,067	2,641	563	2,068	2,631	548	2,013	2,561	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	610	2,241	2,851	579	2,113	2,692	573	2,086	2,659	564	2,074	2,638	559	2,053	2,612	603	2,209	2,812	610	2,241	2,851
R-squared	0.00	0.00	0.35	0.00	0.00	0.11	0.00	0.00	0.17	0.00	0.00	0.24	0.00	0.00	0.25	0.00	0.00	0.17	0.00	0.00	0.12	0.00	0.00	0.20	0.00	0.00	0.13	0.00	0.00	0.13	0.00	0.00	0.10	0.00	0.00	0.15	0.00	0.00	0.14	0.00	0.00	0.16	0.00	0.00	0.17	0.00	0.00	0.28	0.00	0.00	0.14	0.00	0.00	0.35	0.00	0.00	0.11	0.00	0.00	0.17	0.00	0.00	0.24	0.00	0.00	0.25	0.00	0.00	0.17	0.00	0.00	0.12	0.00	0.00	0.20	0.00	0.00	0.13	0.00	0.00	0.13	0.00	0.00	0.10	0.00	0.00	0.15	0.00	0.00	0.14	0.00	0.00	0.16	0.00	0.00	0.17	0.00	0.00	0.28	0.00	0.00	0.14
Standard errors in parentheses																																																																																																						
